#Name  kT        Joules        kJ/mol    
GLY    4.371     1.811E-20     10.928    
ALA    16.466    6.820E-20     41.166    
ARG    20.156    8.348E-20     50.389    
ASN    21.838    9.045E-20     54.595    
ASP    6.316     2.616E-20     15.790    
CYS    21.466    8.891E-20     53.665    
GLN    20.531    8.504E-20     51.329    
GLU    19.590    8.114E-20     48.975    
HIS    17.046    7.060E-20     42.614    
ILE    13.994    5.796E-20     34.985    
LEU    13.797    5.715E-20     34.492    
LYS    17.046    7.060E-20     42.614    
MET    19.022    7.879E-20     47.554    
PHE    21.280    8.814E-20     53.199    
PRO    15.820    6.553E-20     39.550    
SER    20.906    8.659E-20     52.265    
THR    17.238    7.140E-20     43.095    
TRP    25.678    1.064E-19     64.195    
TYR    18.832    7.800E-20     47.079    
VAL    14.191    5.878E-20     35.477    
HID    17.046    7.060E-20     42.614    
HIE    17.046    7.060E-20     42.614    
HIP    17.046    7.060E-20     42.614    
CYM    21.466    8.891E-20     53.665    
AAN    6.316     2.616E-20     15.790    
GAN    19.590    8.114E-20     48.975    
DGL    8.101     3.355E-20     20.252    
