#Name  kT        Joules        kJ/mol
GLY    1.535     6.358E-21     3.838
ALA    4.434     1.836E-20     11.084
ARG    5.321     2.204E-20     13.303
ASN    5.724     2.371E-20     14.310
ASP    1.992     8.251E-21     4.980
CYS    5.635     2.334E-20     14.088
GLN    5.411     2.241E-20     13.528
GLU    5.185     2.148E-20     12.964
HIS    4.573     1.894E-20     11.433
ILE    3.837     1.589E-20     9.592
LEU    3.789     1.569E-20     9.473
LYS    4.573     1.894E-20     11.433
MET    5.049     2.091E-20     12.623
PHE    5.590     2.316E-20     13.976
PRO    4.278     1.772E-20     10.694
SER    5.501     2.279E-20     13.753
THR    4.620     1.913E-20     11.549
TRP    6.636     2.749E-20     16.591
TYR    5.003     2.072E-20     12.508
VAL    3.884     1.609E-20     9.711
CYM    5.635     2.334E-20     14.088
HID    4.573     1.894E-20     11.433
HIE    4.573     1.894E-20     11.433
HIP    4.573     1.894E-20     11.433
AAN    1.992     8.251E-21     4.980
GAN    5.185     2.148E-20     12.964
