#Name  kT        Joules        kJ/mol
GLY    0.795     3.293E-21     1.988
ALA    1.388     5.748E-21     3.470
ARG    1.569     6.497E-21     3.921
ASN    1.651     6.838E-21     4.127
ASP    0.890     3.688E-21     2.226
CYS    1.633     6.763E-21     4.082
GLN    1.587     6.573E-21     3.967
GLU    1.541     6.382E-21     3.852
HIS    1.416     5.866E-21     3.540
ILE    1.267     5.246E-21     3.167
LEU    1.257     5.206E-21     3.142
LYS    1.416     5.866E-21     3.540
MET    1.513     6.267E-21     3.783
PHE    1.624     6.725E-21     4.059
PRO    1.356     5.617E-21     3.390
SER    1.605     6.649E-21     4.013
THR    1.426     5.905E-21     3.564
TRP    1.839     7.617E-21     4.598
TYR    1.504     6.228E-21     3.759
VAL    1.276     5.286E-21     3.191
CYM    1.633     6.763E-21     4.082
HID    1.416     5.866E-21     3.540
HIE    1.416     5.866E-21     3.540
HIP    1.416     5.866E-21     3.540
AAN    0.890     3.688E-21     2.226
GAN    1.541     6.382E-21     3.852
